Provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Aceh,31740,1192,4739,5931
Sumatera Utara,66682,2891,12861,15752
Sumatera Barat,36486,1706,6446,8152
Riau,38790,1697,6388,8085
Jambi,21590,906,3576,4482
Sumatera Selatan,50492,2042,7939,9981
Bengkulu,13113,743,2694,3437
Lampung,50230,2575,11896,14471
Kepulauan Bangka Belitung,7973,440,1782,2222
Kepulauan Riau,11533,750,2676,3426
DKI Jakarta,40458,2800,9349,12149
Jawa Barat,292969,19874,68968,88842
Jawa Tengah,233204,13786,50783,64569
DI Yogyakarta,18920,980,3683,4663
Jawa Timur,271406,18979,58679,77658
Banten,63441,2617,10839,13456
Bali,3189,235,806,1041
Nusa Tenggara Barat,25424,1266,5408,6674
Nusa Tenggara Timur,2775,139,346,485
Kalimantan Barat,21064,835,3800,4635
Kalimantan Tengah,13688,640,2400,3040
Kalimantan Selatan,25069,1238,5139,6377
Kalimantan Timur,20940,1518,4698,6216
Kalimantan Utara,2899,205,726,931
Sulawesi Utara,6025,368,1586,1954
Sulawesi Tengah,15349,740,3122,3862
Sulawesi Selatan,48718,2302,9647,11949
Sulawesi Tenggara,14126,671,2745,3416
Gorontalo,8093,354,1665,2019
Sulawesi Barat,6402,296,1007,1303
Maluku,4464,170,453,623
Maluku Utara,5724,323,937,1260
Papua Barat,1038,120,367,487
Papua Barat Daya,1003,...,...,...
Papua,1473,254,806,1060
Papua Selatan,929,...,...,...
Papua Tengah,825,...,...,...
Papua Pegunungan,58,...,...,...
Indonesia,1478302,85652,308956,394608
,,,,
Catatan,,,,
<sup>1</sup>Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA),,,,
<sup>2</sup>Hanya untuk yang beragama Islam/Applies only for moslem,,,,
<sup>3</sup>Data perceraian yang telah diputus oleh pengadilan dan akta cerainya telah terbit/Divorce data that has been decided by the court and the divorce certificate has been issued,,,,
Data Perceraian Provinsi Papua Barat mencakup Provinsi Papua Barat Daya/Divorce data of Papua Barat Province included Papua Barat Daya Province,,,,
"Data Perceraian Provinsi Papua mencakup Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan/Divorce data of Papua Province included Papua Selatan, Papua Tengah, and Papua Pegunungan Provinces",,,,